,bssid,dev,freq,node,signal,ssid,ap
399,a0:cf:5b:3f:87:4c,wlan0,5660,nuc13,-63.00 dBm,eduroam,nuc12
400,a0:cf:5b:3d:7d:a3,wlan0,2462,nuc13,-72.00 dBm,eduroam,nuc12
401,64:66:b3:ce:21:db,wlan1,2437,nuc4,-74.00 dBm,68-test,nuc12
402,64:66:b3:ce:21:db,wlan0,2437,nuc4,-75.00 dBm,68-test,nuc12
403,56:8b:3c:d0:48:b6,wlan1,5200,nuc4,-59.00 dBm,Intelligent-Mesh-5GHz,nuc12
404,56:8b:3c:d0:48:b6,wlan0,5200,nuc4,-51.00 dBm,Intelligent-Mesh-5GHz,nuc12
405,a0:cf:5b:00:1d:8e,wlan1,5500,nuc4,-73.00 dBm,TUB-Guest,nuc12
406,a0:cf:5b:fa:41:de,wlan1,5660,nuc4,-74.00 dBm,TUB-Guest,nuc12
407,a0:cf:5b:3f:bd:fe,wlan1,5300,nuc4,-83.00 dBm,TUB-Guest,nuc12
408,a0:cf:5b:3f:bf:ce,wlan1,5240,nuc4,-82.00 dBm,TUB-Guest,nuc12
409,a0:cf:5b:3f:bf:ce,wlan0,5240,nuc4,-74.00 dBm,TUB-Guest,nuc12
410,a0:cf:5b:00:1d:8d,wlan1,5500,nuc4,-73.00 dBm,TUB-intern,nuc12
411,a0:cf:5b:fa:41:dd,wlan1,5660,nuc4,-75.00 dBm,TUB-intern,nuc12
412,a0:cf:5b:3f:bf:cd,wlan1,5240,nuc4,-82.00 dBm,TUB-intern,nuc12
413,a0:cf:5b:3f:bd:fd,wlan1,5300,nuc4,-83.00 dBm,TUB-intern,nuc12
414,a0:cf:5b:3f:bf:cd,wlan0,5240,nuc4,-75.00 dBm,TUB-intern,nuc12
415,a0:cf:5b:9f:68:62,wlan0,2412,nuc4,-70.00 dBm,TUB-intern,nuc12
416,a0:cf:5b:fa:41:dc,wlan1,5660,nuc4,-74.00 dBm,eduroam,nuc12
417,a0:cf:5b:3f:bd:fc,wlan1,5300,nuc4,-83.00 dBm,eduroam,nuc12
418,a0:cf:5b:00:1d:8c,wlan1,5500,nuc4,-73.00 dBm,eduroam,nuc12
419,a0:cf:5b:3f:bf:cc,wlan1,5240,nuc4,-82.00 dBm,eduroam,nuc12
420,a0:cf:5b:3f:bf:cc,wlan0,5240,nuc4,-74.00 dBm,eduroam,nuc12
421,00:1b:b1:5d:b1:5a,wlan1,2462,nuc4,-73.00 dBm,eduroam.bowl.tu-berlin.de,nuc12
422,00:1b:b1:5d:b1:5a,wlan0,2462,nuc4,-74.00 dBm,eduroam.bowl.tu-berlin.de,nuc12
423,02:71:d9:74:88:d3,wlan1,2412,nuc4,-65.00 dBm,twist-test,nuc12
424,02:71:d9:74:88:d3,wlan0,2412,nuc4,-72.00 dBm,twist-test,nuc12
425,64:66:b3:ce:21:dc,wlan1,5240,nuc6,-85.00 dBm,68,nuc12
426,64:66:b3:ce:21:dc,wlan0,5240,nuc6,-71.00 dBm,68,nuc12
427,64:66:b3:ce:21:db,wlan1,2437,nuc6,-68.00 dBm,68-test,nuc12
428,64:66:b3:ce:21:db,wlan0,2437,nuc6,-59.00 dBm,68-test,nuc12
429,56:8b:3c:d0:48:b6,wlan1,5200,nuc6,-90.00 dBm,Intelligent-Mesh-5GHz,nuc12
430,a0:cf:5b:3f:bd:fe,wlan1,5300,nuc6,-57.00 dBm,TUB-Guest,nuc12
431,a0:cf:5b:3f:91:7e,wlan0,5260,nuc6,-77.00 dBm,TUB-Guest,nuc12
432,a0:cf:5b:3f:bd:fe,wlan0,5300,nuc6,-32.00 dBm,TUB-Guest,nuc12
433,a0:cf:5b:3f:87:4e,wlan0,5660,nuc6,-69.00 dBm,TUB-Guest,nuc12
434,a0:cf:5b:3f:bd:fd,wlan1,5300,nuc6,-56.00 dBm,TUB-intern,nuc12
435,a0:cf:5b:3f:91:7d,wlan1,5260,nuc6,-83.00 dBm,TUB-intern,nuc12
436,a0:cf:5b:3f:bd:fd,wlan0,5300,nuc6,-45.00 dBm,TUB-intern,nuc12
437,a0:cf:5b:3f:87:4d,wlan0,5660,nuc6,-69.00 dBm,TUB-intern,nuc12
438,a0:cf:5b:3f:91:7d,wlan0,5260,nuc6,-76.00 dBm,TUB-intern,nuc12
439,a0:cf:5b:3f:bd:fc,wlan1,5300,nuc6,-57.00 dBm,eduroam,nuc12
440,a0:cf:5b:3f:91:7c,wlan1,5260,nuc6,-84.00 dBm,eduroam,nuc12
441,a0:cf:5b:3f:bd:fc,wlan0,5300,nuc6,-42.00 dBm,eduroam,nuc12
442,a0:cf:5b:3f:87:4c,wlan0,5660,nuc6,-65.00 dBm,eduroam,nuc12
443,a0:cf:5b:3f:91:7c,wlan0,5260,nuc6,-77.00 dBm,eduroam,nuc12
